timestamp_ms,ax,ay,az,gx,gy,gz,wheel_pulse
184295,463,-46,4309,34,-9,-35,21
184300,476,-55,4315,36,-15,-41,21
184305,469,-59,4296,32,-16,-33,21
184310,466,-56,4307,40,-7,-40,21
184315,471,-60,4300,41,-6,-33,21
184320,466,-53,4319,39,-7,-30,21
184325,468,-50,4323,29,-15,-42,21
184330,473,-60,4323,33,-12,-41,21
184335,473,-56,4320,34,-15,-41,21
184340,473,-57,4318,32,-16,-39,21
184345,463,-57,4291,29,-15,-35,21
184350,464,-60,4306,32,-15,-37,21
184355,473,-42,4462,36,-18,-36,21
184360,257,-436,5119,48,43,-28,21
184365,-208,-32,5296,-1,338,66,21
184370,-656,992,6082,103,637,67,21
184375,-1630,1309,8056,134,1237,-280,21
184380,-1906,-1280,5000,-312,2390,-609,21
184385,-2837,-1569,2829,-360,2257,-337,21
184390,-2698,412,2823,46,1318,111,21
184395,-1478,-266,4188,188,670,104,21
184400,-750,-871,4626,180,632,138,21
184405,-483,86,3243,457,435,252,21
184410,-507,597,3890,526,-246,24,21
184415,-162,-556,4788,286,-393,-333,21
184420,-28,278,6842,-2,-129,-355,21
184425,-688,230,2829,-278,1012,-398,21
184430,-771,-1242,4893,-783,92,-209,21
184435,-463,269,5972,-121,85,24,21
184440,-1105,759,2669,168,715,18,21
184445,-856,315,2696,86,217,-184,21
184450,-737,-421,4190,166,-162,-315,21
184455,-542,496,3215,-267,34,-320,21
184460,-367,-1345,3234,-494,-324,-373,21
184465,-40,-183,5609,-534,-788,-101,21
184470,-220,175,4605,-123,-252,-147,21
184475,-473,-226,5925,299,-417,-257,21
184480,-532,39,5362,-240,172,-245,21
184485,-322,-880,3701,-381,326,-230,21
184490,-325,-728,5162,-131,-92,-69,21
184495,-316,527,2727,486,411,-17,21
184500,-336,894,3563,271,-1,-137,21
184505,-82,440,4375,-550,-112,-323,21
184510,-159,-725,3452,-1017,66,-369,21
184515,-404,483,5955,-257,-507,-304,21
184520,-412,342,3670,220,-74,-443,21
184525,-404,331,5766,-138,-214,-574,21
184530,-99,-122,3124,-950,107,-477,21
184535,-219,-423,3253,-334,-353,-476,21
184540,-23,852,4940,703,-740,-691,21
184545,-71,-329,4251,-609,-227,-807,21
184550,-210,-462,5152,-886,-432,-544,21
184555,-417,-814,3827,260,-318,-500,21
184560,-236,14,3086,964,-495,-495,21
184565,76,-459,3586,-972,-577,-264,21
184570,-209,-1141,4663,-1038,-378,-112,21
184575,209,369,4887,468,-608,-27,21
184580,453,1025,4997,-79,-772,-96,21
184585,228,250,3212,-999,-571,-244,21
184590,144,-225,4396,-686,-804,-236,21
184595,231,440,4528,294,-566,-432,21
184600,368,347,3819,-597,-499,-492,21
184605,690,-1663,6949,-826,-681,-330,21
184610,279,398,5518,253,336,-111,21
184615,1018,-483,6014,-247,976,-60,21
184620,1178,-496,4302,-813,2126,210,21
184625,383,650,347,4,2775,76,21
184630,1676,1706,5754,1792,1248,-841,21
184635,-1576,1661,-5956,166,1845,-1252,21
184640,1908,-1752,-2280,-3522,-2985,-834,21
184645,407,876,11196,-1041,-6107,-609,21
184650,-582,776,-398,-1465,-3363,-351,22
184655,-1415,-110,8052,-1903,-5206,-527,22
184660,2238,-2628,11224,1807,-4621,-1049,22
184665,-887,-5081,9787,1320,-794,-905,22
184670,1238,1467,7483,1613,638,348,22
184675,483,-382,4816,534,1677,428,22
184680,-995,404,-802,607,2422,463,22
184685,1425,117,-444,-322,1503,417,22
184690,140,-721,453,517,605,554,22
184695,136,135,527,586,-909,683,22
184700,950,-93,6747,-310,-2124,427,22
184705,-137,-1385,1808,-522,-1007,483,22
184710,1279,1902,10373,-367,-2500,499,22
184715,877,-862,10152,-220,-388,-19,22
184720,185,-672,4825,29,1389,195,22
184725,338,-69,5009,400,1060,424,22
184730,485,-700,2967,303,1672,371,22
184735,532,-317,2548,-272,1438,474,22
184740,62,-273,3287,138,961,603,22
184745,-89,1056,1897,10,873,556,22
184750,323,-118,664,-1000,23,279,22
184755,589,180,6370,-305,-1231,247,22
184760,97,2378,1985,443,-288,16,22
184765,204,-834,4800,-644,-1009,-410,22
184770,434,-24,5476,-410,-792,-265,22
184775,-167,263,4549,749,-309,-608,22
184780,441,-780,6017,-208,-476,-667,22
184785,473,-1368,4327,-849,-43,-408,22
184790,-17,-264,2900,14,4,-58,22
184795,-104,505,5107,283,-225,-101,22
184800,55,332,3973,-51,-70,-153,22
184805,852,-1529,3936,-92,-183,-29,22
184810,447,1060,7243,150,-13,166,22
184815,-171,184,3105,-248,739,1,22
184820,566,-220,5492,-225,78,7,22
184825,539,810,5368,-586,895,-35,22
184830,158,-740,2597,-681,1511,-196,22
184835,602,-224,4639,-208,488,-92,22
184840,308,-387,2392,217,760,-101,23
184845,642,-985,3968,-535,377,21,23
184850,469,-1253,1442,-267,843,309,23
184855,505,-1195,5360,740,-158,586,23
184860,716,444,2456,1250,281,899,23
184865,619,-740,2336,2314,-462,607,23
184870,3953,-138,21926,1088,-2788,-106,23
184875,-768,-127,-5281,-3598,3072,326,23
184880,868,2261,8767,-2799,-1392,37,23
184885,163,1221,4981,-1015,520,-913,23
184890,768,699,3937,761,514,-1353,23
184895,638,-393,1247,370,955,-1548,23
184900,120,957,5280,-464,773,-1462,23
184905,823,-2288,-2882,-376,2303,-1384,23
184910,-1157,-1052,-2054,-187,1115,-966,23
184915,1433,1218,66,-189,25,-632,23
184920,1294,-1816,7456,-1617,-504,-742,23
184925,-139,-2366,2020,-1344,51,-106,23
184930,1641,2067,13979,-169,-2516,310,23
184935,1335,-1724,6519,-632,112,6,23
184940,531,-694,2120,-118,318,236,23
184945,921,385,7902,945,-1089,260,23
184950,1156,-546,3873,377,240,47,23
184955,405,-740,1274,-59,307,76,23
184960,609,-273,2955,384,-724,139,23
184965,790,1739,5073,579,-875,-18,23
184970,430,-664,3323,-429,205,-431,23
184975,261,19,2436,-304,367,-364,23
184980,782,1224,7669,330,-472,-453,23
184985,538,-451,5086,153,410,-779,23
184990,1097,-363,6588,104,270,-692,23
184995,527,-1003,861,126,772,-496,23
185000,1115,-929,7875,454,-898,-330,23
185005,688,-1524,3780,-136,200,36,23
185010,483,-525,2709,354,-130,427,23
185015,63,-658,3204,862,-574,445,23
185020,860,-809,6083,82,-858,455,23
185025,649,211,2851,203,128,535,23
185030,585,503,5760,683,-498,362,24
185035,91,-116,3273,933,121,64,24
185040,900,40,4880,256,-95,-56,24
185045,715,-307,1333,88,496,-34,24
185050,501,1220,5177,788,-406,-7,24
185055,712,-1166,4731,657,31,-332,24
185060,1244,-160,7225,479,-128,-81,24
185065,311,-158,3787,403,760,112,24
185070,656,120,3748,801,325,81,24
185075,1193,536,6401,449,193,-168,24
185080,599,-783,2592,361,1483,-349,24
185085,614,-416,5844,879,973,-341,24
185090,50,-2597,-4583,1033,944,-188,24
185095,920,-400,1674,-851,-2772,706,24
185100,610,150,3173,-283,-3030,1279,24
185105,436,702,2362,-1672,-3785,1685,24
185110,700,136,8896,1748,-4895,1635,24
185115,3073,4421,24230,1801,-5042,1334,24
185120,1827,-2808,7310,-1208,809,100,24
185125,-325,-2207,4919,-162,2160,-2,24
185130,1032,-422,9723,12,1899,375,24
185135,-1598,710,1563,-85,3519,577,24
185140,1441,511,-2673,-1687,2981,439,24
185145,744,-320,-1150,-855,1514,199,24
185150,767,-40,1652,-1053,4,603,24
185155,1254,117,1183,-1057,-147,574,24
185160,1015,834,2126,299,-870,364,24
