timestamp_ms,ax,ay,az,gx,gy,gz,wheel_pulse
212985,319,-30,4296,39,-13,-37,46
212990,308,-37,4310,34,-18,-38,46
212995,320,-35,4309,35,-4,-40,46
213000,314,-23,4332,38,-6,-43,46
213005,317,-27,4325,38,-11,-40,46
213010,327,-24,4327,33,-12,-43,46
213015,318,-31,4325,38,-9,-40,46
213020,327,-25,4317,34,-13,-38,46
213025,312,-13,4312,34,-13,-44,46
213030,301,-26,4320,32,-9,-39,46
213035,294,6,4515,29,-14,-34,46
213040,131,173,5170,-19,66,-51,46
213045,-282,528,5608,-132,409,-129,46
213050,-714,894,6483,-238,866,-333,46
213055,-963,-221,2783,-47,1445,-616,46
213060,-2058,128,5139,288,754,-598,46
213065,-1917,-861,4359,286,1120,-493,46
213070,-2552,-2324,3749,-159,1387,-171,46
213075,-1902,-1882,5120,428,980,464,46
213080,-1031,-1420,4133,225,1041,949,46
213085,-1507,-1272,2522,72,807,1410,46
213090,212,1023,3732,-371,3,1653,46
213095,-338,1167,4667,-310,-112,1284,46
213100,-1425,-259,569,-14,80,741,46
213105,-593,1194,4220,69,-1203,575,46
213110,-846,-432,3337,154,-903,343,46
213115,-1073,1395,4754,751,-1020,222,46
213120,-371,-256,6672,645,-1189,-27,46
213125,-564,-421,3361,1115,-792,-13,46
213130,-489,-173,4342,829,-1158,99,46
213135,-574,428,5051,638,-828,112,46
213140,-451,11,5213,-584,-493,28,46
213145,-711,-520,5440,-263,-332,72,46
213150,-648,197,4227,525,-402,223,46
213155,-505,987,4305,747,-395,212,46
213160,-644,1040,6374,-111,77,55,46
213165,-830,-54,2121,-620,1116,-110,46
213170,-483,-910,3283,-430,126,-87,46
213175,39,-708,2724,329,-336,177,46
213180,74,286,7297,299,-349,436,46
213185,-955,-609,3169,-738,981,477,46
213190,-528,-166,3899,-718,43,667,46
213195,-113,-126,5553,-546,-601,720,46
213200,-280,1354,5885,-335,205,658,46
213205,-704,874,779,-74,882,234,46
213210,-255,-102,4177,606,-645,-183,46
213215,-67,-791,3603,99,-791,-294,46
213220,-411,-45,4522,288,-792,-300,46
213225,-780,-696,1876,573,-696,-278,46
213230,-548,315,6338,1216,-1716,-277,46
213235,-335,319,6471,247,-1009,-407,46
213240,-536,-685,23,-105,-45,-502,46
213245,-773,697,6679,768,-1045,-372,46
213250,7,156,5443,105,147,-467,46
213255,-25,-1259,435,74,398,-447,46
213260,723,1074,8044,348,-1152,-50,47
213265,-508,-277,3719,379,806,-79,47
213270,-137,-1062,2887,534,667,-54,47
213275,1080,597,6555,613,129,361,47
213280,157,-1298,2944,-441,1593,703,47
213285,698,1893,-5799,8,1581,852,47
213290,1011,2291,10415,2880,-3324,265,47
213295,3395,2087,7914,-2654,-2226,-265,47
213300,166,2152,11250,-1514,-776,-906,47
213305,1051,-762,11958,-1292,-1096,-1823,47
213310,171,-408,4210,-539,701,-1834,47
213315,606,-1263,6175,-193,1023,-1910,47
213320,-362,525,482,71,1994,-1503,47
213325,-531,-557,324,21,1463,-1245,47
213330,-416,-2501,1018,201,1405,-1166,47
213335,1038,-642,3804,644,1105,-773,47
213340,295,1460,2994,-416,1848,-348,47
213345,-1213,9,-1949,-1295,1942,-338,47
213350,-25,537,7137,-412,-1094,-333,47
213355,351,1743,10198,186,-705,-473,47
213360,29,-1226,2677,-890,653,-507,47
213365,62,-674,5317,202,-324,-305,47
213370,411,-1036,6779,320,-353,-54,47
213375,296,-539,1879,-571,464,201,47
213380,74,-375,2679,-592,-235,256,47
213385,-318,33,2763,297,-655,198,47
213390,504,1630,5114,504,-801,-51,47
213395,526,-382,2158,-579,-285,-429,47
213400,408,-527,6505,107,-901,-393,47
213405,9,289,7026,557,-240,-333,47
213410,271,100,2860,-328,356,-226,47
213415,414,482,6351,-461,-555,-120,47
213420,-61,243,4916,393,387,-308,47
213425,23,609,1719,119,548,-366,47
213430,556,-104,5512,-877,-490,-311,47
213435,-232,471,4021,140,221,-366,47
213440,-213,1412,2141,1027,113,-693,47
213445,537,-976,4909,-348,-841,-1020,47
213450,224,-1733,1898,-305,-162,-664,48
213455,-332,775,5324,964,-650,-472,48
213460,449,-1461,4192,-189,-474,-532,48
213465,777,-560,7125,-230,-707,-111,48
213470,-26,-330,5469,1107,92,-70,48
213475,149,-694,3171,719,134,16,48
213480,498,-247,5357,-164,-430,370,48
213485,-172,368,4513,1030,313,365,48
213490,-170,1054,3599,1396,586,109,48
213495,145,-527,3216,-31,473,-224,48
213500,503,-36,6167,1070,299,-274,48
213505,262,701,5528,1549,1107,-467,48
213510,132,-520,4895,665,1431,-771,48
213515,336,-1363,-4171,-27,846,-449,48
213520,646,-2969,-1656,-1091,-2389,329,48
213525,521,343,1814,1970,-3790,1260,48
213530,-19,177,-1519,-316,-4357,1945,48
