timestamp_ms,ax,ay,az,gx,gy,gz,wheel_pulse
347015,218,-5,4341,26,-21,-37,196
347020,216,5,4335,33,-17,-40,196
347025,208,12,4333,34,-11,-38,196
347030,218,11,4322,38,-9,-38,196
347035,226,18,4323,41,-7,-44,196
347040,217,14,4315,41,-8,-44,196
347045,218,4,4330,42,4,-39,196
347050,218,-3,4333,40,-10,-41,196
347055,220,17,4326,41,-5,-43,196
347060,210,58,4437,28,-11,-37,196
347065,117,130,4442,38,40,-53,196
347070,-25,311,5248,56,42,-106,196
347075,-867,210,6191,-34,432,-177,196
347080,-2693,502,5903,-164,1061,-243,196
347085,-3578,442,3984,-228,1292,-487,196
347090,-1938,-313,3929,-6,1102,-641,196
347095,-2904,708,1541,172,919,-554,196
347100,-1809,100,4484,633,-50,-785,196
347105,-1079,818,2176,833,279,-755,196
347110,531,-989,2932,675,-326,-876,196
347115,-41,109,8930,629,-1206,-806,196
347120,-902,-1946,5302,877,526,-763,196
347125,-798,1579,4126,596,462,-193,196
347130,-630,-2209,6763,-1155,-875,-229,196
347135,-775,-201,7014,107,10,171,196
347140,-1175,492,404,526,1215,362,196
347145,-548,-302,4442,-286,-530,311,196
347150,-579,438,4579,-485,-468,364,196
347155,-765,2151,2655,-757,-150,198,196
347160,-751,898,2706,-898,-628,-380,196
347165,-644,-86,4886,-1065,-964,-660,196
347170,-736,-515,7295,102,-571,-724,196
347175,-938,389,4249,1163,293,-789,196
347180,-609,-2670,5833,95,-99,-642,196
347185,-392,-749,6340,50,512,51,196
347190,-148,-1945,3993,-178,752,306,196
347195,-376,511,3588,479,326,518,196
347200,-399,3524,2452,256,-343,428,196
347205,-445,1540,1514,-1635,-1058,-312,196
347210,-647,790,4084,-1866,-1444,-789,196
347215,-679,-91,8093,-720,-1222,-874,196
347220,-981,-328,1438,445,138,-643,196
347225,-225,-1106,6737,1123,-1654,-474,196
347230,237,-1141,9700,1137,-1236,-175,196
347235,-523,-1046,3186,527,580,204,196
347240,-517,-730,3298,228,-232,425,196
347245,-442,900,4371,155,-629,509,196
347250,-499,1062,599,-498,-277,345,196
347255,-38,959,3215,-801,-1318,117,196
347260,357,624,7621,681,-834,-157,196
347265,-128,1521,2428,699,1334,-441,196
347270,-769,-819,1356,-204,-34,-831,196
347275,396,-772,10655,-513,-1706,-729,196
347280,521,-1278,7619,-317,622,-491,196
347285,-225,-1080,826,-644,1407,3,196
347290,374,-782,6620,-933,-301,575,196
347295,-75,1507,643,-306,1165,852,196
347300,668,1569,2931,781,-530,429,196
347305,639,286,3880,1418,-986,-179,196
347310,281,-857,2953,194,-922,-448,196
347315,-565,-2218,1322,-592,-1146,-59,196
347320,-317,663,7622,27,-2381,215,196
347325,-72,1364,7628,-3093,-1384,229,196
347330,258,1102,5921,-946,-187,70,196
347335,475,1152,6806,-329,15,-285,196
347340,-121,-372,4035,193,1105,-777,197
347345,569,-776,4815,486,213,-641,197
347350,533,-891,3567,633,280,-377,197
347355,-389,-117,1677,1100,407,-195,197
347360,0,212,839,365,-278,-97,197
347365,578,-1267,4779,-464,-875,-110,197
347370,-150,-622,746,958,-214,-36,197
347375,313,-259,7516,-527,-1872,161,197
347380,429,-11,8116,-1155,-1223,379,197
347385,-515,1271,5598,-375,-72,345,197
347390,-212,697,3270,-494,368,-12,197
347395,454,245,3628,-560,95,-254,197
347400,568,273,5062,309,239,-315,197
347405,367,-1319,904,407,836,-333,197
347410,458,404,6407,-577,-224,2,197
347415,165,-242,4155,-957,341,92,197
347420,180,183,4107,-738,-182,283,197
347425,648,1751,7497,-164,-475,156,197
347430,173,-116,3467,-464,968,-357,197
347435,490,-1088,3726,-901,519,-405,197
347440,168,-174,8877,-495,-20,-266,197
347445,-792,420,1377,604,1724,-362,197
347450,-96,216,2697,-756,800,-560,197
347455,210,-259,4402,-590,642,-612,197
347460,449,-146,3897,1221,1080,-652,197
347465,1057,490,6116,934,992,-884,197
347470,-339,-807,4250,504,1340,-883,197
347475,128,-1951,5176,422,341,-706,197
347480,-332,17,3846,1669,528,-294,197
347485,632,433,4931,-381,567,-65,197
347490,207,906,1979,162,1057,-69,197
347495,-193,191,5772,-43,-296,-233,197
347500,80,217,4876,757,539,-374,197
347505,195,696,2386,1086,855,-499,197
347510,-397,-776,1756,837,-85,-669,197
347515,751,-1187,5511,-382,-813,-384,197
347520,-375,-49,2741,-387,115,0,197
347525,-681,-12,1977,1396,-554,-5,197
347530,-163,-1898,3896,1520,-1206,100,197
347535,110,951,8650,57,-1075,503,197
347540,148,-322,4664,-8,160,469,197
347545,205,-357,8094,1047,-165,431,197
347550,1355,128,5840,-452,971,484,197
347555,-676,-145,3863,-152,1363,596,197
347560,393,1256,3870,531,1277,490,198
347565,522,1387,488,738,1446,145,198
347570,441,1050,3568,-144,-28,-116,198
347575,174,-276,4664,-1278,21,-256,198
347580,2,457,1609,-1277,380,-319,198
347585,371,1987,6186,1796,-1197,-810,198
347590,65,436,2796,1804,-691,-1316,198
347595,228,-408,5854,-991,-1280,-1246,198
347600,98,-2142,4644,-1995,-554,-1003,198
347605,249,-2144,6638,-143,-747,-438,198
347610,20,-655,2184,884,-297,-18,198
347615,1848,52,7033,437,-1063,145,198
347620,-61,260,2787,53,776,152,198
347625,822,234,6853,-1481,139,228,198
347630,402,-734,5127,-1693,414,495,198
347635,979,1590,6243,318,-380,440,198
347640,692,1106,3512,496,188,12,198
347645,1521,197,1784,-197,-104,-177,198
347650,1712,-99,6835,-668,-884,-240,198
347655,173,-1050,2691,632,113,-613,198
347660,-536,64,2158,968,-508,-672,198
347665,564,51,3927,-376,-1060,-490,198
347670,1109,463,3320,-1463,-428,-339,198
347675,-284,-1011,3051,-364,-412,-460,198
347680,930,-239,11240,646,-1201,-489,198
347685,1062,-1002,2062,578,624,-286,198
347690,490,486,9568,189,-944,-27,198
347695,174,-507,2870,203,1048,-191,198
347700,591,-1909,-987,-1149,416,111,198
347705,934,-231,8394,18,-1491,652,198
347710,154,769,229,-24,488,921,198
347715,257,279,5482,29,-1365,649,198
347720,1156,1080,6752,-47,-1148,272,198
347725,176,1182,3592,243,432,-168,198
347730,-60,754,3606,-16,129,-591,198
347735,437,-1481,5720,-389,-55,-871,198
347740,498,-581,3043,-104,491,-632,198
347745,450,-187,5297,238,-224,-430,198
347750,-26,328,2473,522,221,-409,199
347755,358,388,5627,-386,63,-441,199
347760,649,-676,3599,-522,591,-409,199
347765,208,-1378,3323,-806,110,-53,199
347770,736,1260,8356,285,-591,273,199
347775,428,-414,2325,-31,1048,94,199
347780,1105,-140,5689,-239,-317,308,199
347785,327,346,5451,18,1,503,199
347790,34,330,2130,20,635,344,199
347795,345,-195,3479,-578,-406,106,199
347800,590,-353,3709,-597,-573,-23,199
347805,455,581,5137,-172,-535,-51,199
347810,262,1119,3814,-503,-98,-238,199
347815,310,-234,5040,-929,-416,-458,199
347820,263,107,4418,-1098,-268,-301,199
347825,-23,-279,3119,-864,8,-212,199
347830,232,382,4129,-556,-382,-169,199
347835,331,72,5098,115,-142,-332,199
347840,275,-528,453,105,250,-423,199
347845,1352,-568,10239,-1115,-1375,-247,199
347850,515,400,4893,-1015,542,-365,199
347855,331,-1002,6124,-374,284,-555,199
347860,1101,-651,6952,778,318,-580,199
