timestamp_ms,ax,ay,az,gx,gy,gz,wheel_pulse
444255,296,52,4318,38,-5,-42,311
444260,295,40,4316,39,-5,-37,311
444265,296,41,4320,35,-9,-42,311
444270,290,39,4341,37,-7,-42,311
444275,295,45,4337,43,-6,-43,311
444280,293,43,4335,41,-5,-46,311
444285,291,38,4327,32,-11,-48,311
444290,296,46,4340,37,-10,-45,311
444295,302,36,4337,32,-6,-46,311
444300,290,37,4327,34,-10,-44,311
444305,265,69,4472,30,-8,-42,311
444310,106,346,4567,20,57,-61,311
444315,-112,605,5007,39,144,-166,311
444320,-300,728,5464,-29,284,-343,311
444325,-983,910,7029,-97,770,-595,311
444330,-3980,-644,4192,-671,1733,-900,311
444335,-3173,-615,4971,-532,1271,-958,311
444340,-2419,-1178,3300,-438,1180,-685,311
444345,-1580,-1004,3353,-169,961,-283,311
444350,-807,-1291,3719,880,815,143,311
444355,546,769,3288,905,795,563,311
444360,-343,1390,5089,214,426,509,311
444365,-1091,-133,3804,-721,948,378,311
444370,-893,447,2468,443,1029,407,311
444375,-1164,-585,1299,-868,-54,368,311
444380,-1146,1000,5632,-644,-1111,292,311
444385,112,-852,6647,-1061,-263,250,311
444390,-1183,-350,3935,-660,406,385,311
444395,-617,574,7164,-407,-326,400,311
444400,-794,580,5132,51,523,184,311
444405,-761,138,3436,724,572,-76,311
444410,-534,-756,2771,887,-90,-221,311
444415,-460,-852,3302,1239,-816,-171,311
444420,-650,-566,2846,1898,-1057,-66,311
444425,-717,632,4127,1734,-1374,43,311
444430,-692,438,3371,-609,-814,49,311
444435,-781,1172,4877,-1062,-733,-83,311
444440,-587,442,5819,-26,-681,-441,311
444445,-399,312,4750,-913,-145,-530,312
444450,-318,1045,4957,-952,-172,-399,312
444455,-77,2930,6486,500,-223,-621,312
444460,46,-80,2327,1261,639,-1241,312
444465,-23,-1088,2601,420,173,-1044,312
444470,-439,-633,4401,-1092,-358,-701,312
444475,-763,-18,5355,84,-552,-628,312
444480,-126,-639,4472,1051,-248,-675,312
444485,-251,-223,5074,662,-158,-489,312
444490,-483,-539,3693,-314,-145,-284,312
444495,-387,-970,4107,231,-430,-89,312
444500,-408,-505,5451,880,-378,115,312
444505,-111,-486,3869,-1479,331,436,312
444510,9,507,5930,-1188,435,666,312
444515,-314,457,2377,639,486,425,312
444520,90,794,2646,432,-235,237,312
444525,1051,706,9765,-989,-966,362,312
444530,-197,-204,5303,892,543,153,312
444535,-415,-820,1152,1543,322,21,312
444540,500,-237,6462,265,-1202,105,312
444545,372,-1008,4285,-247,-233,108,312
444550,-72,-174,-575,-11,-101,285,312
444555,287,461,5432,699,-2136,277,312
444560,138,-91,5712,878,-1252,200,312
444565,-588,306,1865,-33,-318,391,312
444570,-266,-296,3671,-215,-1337,351,312
444575,823,-121,5032,-158,-1556,481,312
444580,195,-10,4213,1265,-871,527,312
444585,131,717,3912,849,-740,470,312
444590,135,117,5973,-497,-830,510,312
444595,1052,-110,6007,-705,-370,509,312
444600,-429,-617,4241,-514,91,432,312
444605,362,-59,3253,938,-207,252,312
444610,1076,-65,5592,625,-752,180,312
444615,616,-259,6785,-144,-417,322,312
444620,-169,-644,2617,395,196,384,312
444625,108,294,1311,396,-790,478,312
444630,473,-782,3557,177,-1607,447,312
444635,368,740,10004,-1714,-1102,633,312
444640,104,1828,1688,-4586,1848,758,312
444645,965,-1333,4868,-4617,940,809,312
444650,1253,4028,12709,-3360,1018,1173,312
444655,294,620,5051,-2802,4220,526,312
444660,755,1079,1084,-580,3637,214,312
444665,-1393,138,-3096,-475,2741,-242,313
444670,-332,-1582,1565,836,152,-551,313
444675,528,-2441,2174,1687,-544,-547,313
444680,-424,961,214,1658,-911,-86,313
444685,-681,-555,-2802,709,-1351,39,313
444690,-1153,78,-1594,2069,-2819,-179,313
444695,-370,1025,116,1557,-4016,-141,313
444700,-403,-863,1546,1508,-4561,-266,313
444705,-779,1691,176,2499,-4550,-220,313
444710,1762,-3340,22501,-2357,-5924,-225,313
444715,2375,236,8250,138,-1013,247,313
444720,-31,-413,11277,1585,-3158,106,313
