timestamp_ms,ax,ay,az,gx,gy,gz,wheel_pulse
239330,158,36,4312,31,-15,-40,74
239335,167,35,4331,32,-7,-34,74
239340,162,22,4347,44,-8,-37,74
239345,157,23,4332,38,-12,-32,74
239350,152,32,4331,32,-3,-38,74
239355,155,33,4318,36,-7,-34,74
239360,156,22,4320,44,-11,-37,74
239365,156,24,4319,37,-9,-45,74
239370,156,31,4347,30,-12,-45,74
239375,160,29,4328,32,-14,-43,74
239380,155,65,4396,33,-12,-38,74
239385,-22,197,4635,32,-2,-52,74
239390,-317,399,5000,-2,115,-97,74
239395,-343,699,7127,-52,286,-218,74
239400,-1083,981,5704,-166,1304,-465,74
239405,-2537,-963,3568,-523,1468,-769,74
239410,-2485,-3231,3185,-171,551,-434,74
239415,-1655,-510,5454,276,261,471,75
239420,-1741,-333,1221,276,977,788,75
239425,-1374,575,1519,226,-219,794,75
239430,-913,556,3994,46,-925,647,75
239435,294,660,7325,-305,-610,348,75
239440,-1672,299,2716,-307,907,23,75
239445,-1164,-563,4577,-24,-314,22,75
239450,-482,816,6254,618,-474,87,75
239455,-803,79,2609,564,317,11,75
239460,-941,396,5249,787,-638,-28,75
239465,-623,523,6833,140,-406,-122,75
239470,-1284,422,1587,208,797,-307,75
239475,-950,-105,4589,11,-389,-410,75
239480,-757,145,3271,20,-75,-374,75
239485,-846,227,4203,115,25,-366,75
239490,-791,391,5143,177,-29,-384,75
239495,-706,-198,3725,-252,221,-415,75
239500,-621,222,7130,184,46,-407,75
239505,-953,300,4393,310,941,-438,75
239510,-870,-162,3058,283,1200,-497,75
239515,-530,-365,4279,505,999,-495,75
239520,-422,-815,3569,1083,1253,-503,75
239525,-144,-417,5257,1350,1290,-471,75
239530,-461,-1551,1350,1126,2170,-447,75
239535,121,-3138,3352,49,995,78,75
239540,-459,167,9596,15,439,1238,75
239545,-658,3816,3066,489,2055,1563,75
239550,489,872,5957,-2303,-120,1120,75
239555,147,1723,13540,-834,-719,671,75
239560,-1020,2503,4827,-1406,1277,362,75
239565,-1149,74,953,-843,655,-399,75
239570,-653,-2975,2753,42,-611,-749,75
239575,39,-257,182,1123,-537,-508,75
239580,-198,565,2448,15,-1085,-412,75
239585,438,562,2621,-2047,-1161,-250,75
239590,-556,604,4363,-1068,-231,-402,75
239595,-1266,-436,1565,157,844,-693,75
239600,-864,555,4135,596,-318,-806,75
239605,58,1359,7149,-872,-205,-750,75
239610,161,211,2364,106,815,-790,75
239615,137,533,7681,-374,-355,-824,75
239620,1011,-995,7637,-812,254,-739,75
239625,125,-1080,2801,-130,753,-496,75
239630,324,314,4630,159,-269,-288,75
239635,233,218,3189,-655,73,-255,75
239640,55,-220,3341,-778,-31,-370,75
239645,-41,-47,4067,-295,-330,-370,75
239650,-80,446,1690,763,-251,-450,75
239655,159,38,3787,859,-759,-654,75
239660,295,367,7444,-109,-628,-714,75
239665,-369,-254,3822,-164,845,-657,75
239670,-426,-513,2359,259,480,-487,75
239675,388,-189,7119,184,-832,-304,75
239680,472,-97,6688,-976,59,-129,75
239685,-175,992,3320,-210,1104,-76,76
239690,-82,588,2336,371,146,-359,76
239695,-153,-290,6864,191,-1094,-534,76
239700,-414,-1001,2935,-36,188,-473,76
239705,-414,-400,2369,917,-127,-326,76
239710,5,63,4534,688,-965,-236,76
239715,-284,-170,4270,219,-644,-271,76
239720,-180,269,3966,-648,-346,-178,76
239725,97,340,5183,491,-179,-236,76
239730,297,-10,3096,844,-162,-426,76
239735,1000,-266,7069,-67,-571,-384,76
239740,608,-265,5812,-4,358,-201,76
239745,346,175,4139,681,544,-168,76
239750,923,-339,4990,722,5,-195,76
239755,940,-48,4518,152,138,0,76
239760,346,-530,2780,-75,678,78,76
239765,392,52,2972,580,-206,134,76
239770,957,658,6750,265,-1060,110,76
239775,339,142,3329,-359,138,-29,76
239780,157,567,4679,-213,12,-30,76
239785,627,730,5583,238,-54,-193,76
239790,168,829,5620,622,477,-597,76
239795,258,-145,5119,31,1139,-870,76
239800,395,-1369,4316,-62,1699,-863,76
239805,275,-1333,2699,770,1837,-690,76
239810,235,495,-436,230,454,-323,76
239815,1423,-1272,3761,-2286,-1236,10,76
239820,550,-55,2833,-691,-1256,728,76
239825,138,1953,1686,-1861,-2105,1330,76
239830,-218,1554,5566,-2788,-3861,1173,76
239835,-451,1941,5480,-2215,-3006,450,76
239840,-465,716,5920,-2124,-1973,-207,76
239845,2019,-2318,12071,1641,-1358,-798,76
239850,1505,-1152,11537,2663,586,-822,76
239855,1987,-1308,10858,2277,825,-914,76
239860,-1194,20,2455,746,2881,-496,76
